run_id,phase,task_id,asr_id,round,spoken_variant,audio_condition,critical_slot_preserved,route_sequence,retry_triggered,retry_count,script_error_observed,script_error_count,pptx_produced,edit_signal,deterministic_rule_pass,visual_status,embedded_images,max_overlap_ratio,left_right_margin_diff_ratio,gap_diff_ratio,visual_note,output_filename,source_log
first_round:id5:ASR-2:r1:connected:reverb,first_round,id5,ASR-2,1,connected,reverb,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_connected_reverb.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:connected:bandlimit,first_round,id5,ASR-2,1,connected,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_connected_bandlimit.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:self_repair:none,first_round,id5,ASR-2,1,self_repair,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_self_repair.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:self_repair:noise,first_round,id5,ASR-2,1,self_repair,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_self_repair_noise.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:self_repair:reverb,first_round,id5,ASR-2,1,self_repair,reverb,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_self_repair_reverb.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:self_repair:bandlimit,first_round,id5,ASR-2,1,self_repair,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_self_repair_bandlimit.pptx,asr2_r1_id5.txt
first_round:id5:ASR-6:r1:clean:none,first_round,id5,ASR-6,1,clean,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_clean.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:clean:noise,first_round,id5,ASR-6,1,clean,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_clean_noise.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:clean:reverb,first_round,id5,ASR-6,1,clean,reverb,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_clean_reverb.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:clean:bandlimit,first_round,id5,ASR-6,1,clean,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_clean_bandlimit.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:spoken:none,first_round,id5,ASR-6,1,spoken,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_spoken.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:spoken:noise,first_round,id5,ASR-6,1,spoken,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_spoken_noise.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:spoken:reverb,first_round,id5,ASR-6,1,spoken,reverb,,PYTHON-PPTX,true,1,true,1,true,true,true,,,,,,,slide_5_r1_ASR-6_spoken_reverb.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:spoken:bandlimit,first_round,id5,ASR-6,1,spoken,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_spoken_bandlimit.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:connected:none,first_round,id5,ASR-6,1,connected,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_connected.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:connected:noise,first_round,id5,ASR-6,1,connected,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_connected_noise.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:connected:reverb,first_round,id5,ASR-6,1,connected,reverb,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_connected_reverb.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:connected:bandlimit,first_round,id5,ASR-6,1,connected,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_connected_bandlimit.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:self_repair:none,first_round,id5,ASR-6,1,self_repair,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_self_repair.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:self_repair:noise,first_round,id5,ASR-6,1,self_repair,noise,,PYTHON-PPTX,true,1,true,1,true,true,true,,,,,,,slide_5_r1_ASR-6_self_repair_noise.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:self_repair:reverb,first_round,id5,ASR-6,1,self_repair,reverb,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_self_repair_reverb.pptx,asr6_r1_id5.txt
first_round:id5:ASR-6:r1:self_repair:bandlimit,first_round,id5,ASR-6,1,self_repair,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-6_self_repair_bandlimit.pptx,asr6_r1_id5.txt
first_round:id20:ASR-2:r1:clean:none,first_round,id20,ASR-2,1,clean,none,false,PYTHON-PPTX,false,0,false,0,true,false,false,,,,,,,slide_20_r1_ASR-2_clean.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:clean:noise,first_round,id20,ASR-2,1,clean,noise,false,PYTHON-PPTX,false,0,false,0,true,false,false,,,,,,,slide_20_r1_ASR-2_clean_noise.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:clean:reverb,first_round,id20,ASR-2,1,clean,reverb,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_clean_reverb.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:clean:bandlimit,first_round,id20,ASR-2,1,clean,bandlimit,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_clean_bandlimit.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:spoken:none,first_round,id20,ASR-2,1,spoken,none,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_spoken.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:spoken:noise,first_round,id20,ASR-2,1,spoken,noise,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_spoken_noise.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:spoken:reverb,first_round,id20,ASR-2,1,spoken,reverb,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_spoken_reverb.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:spoken:bandlimit,first_round,id20,ASR-2,1,spoken,bandlimit,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_spoken_bandlimit.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:connected:none,first_round,id20,ASR-2,1,connected,none,true,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-2_connected.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:connected:noise,first_round,id20,ASR-2,1,connected,noise,true,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_connected_noise.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:connected:reverb,first_round,id20,ASR-2,1,connected,reverb,true,XML,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_connected_reverb.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:connected:bandlimit,first_round,id20,ASR-2,1,connected,bandlimit,false,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-2_connected_bandlimit.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:self_repair:none,first_round,id20,ASR-2,1,self_repair,none,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_self_repair.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:self_repair:noise,first_round,id20,ASR-2,1,self_repair,noise,false,PYTHON-PPTX,false,0,false,0,true,false,false,,,,,,,slide_20_r1_ASR-2_self_repair_noise.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:self_repair:reverb,first_round,id20,ASR-2,1,self_repair,reverb,false,PYTHON-PPTX,true,1,true,1,true,true,false,,,,,,,slide_20_r1_ASR-2_self_repair_reverb.pptx,asr2_r1_id20.txt
first_round:id20:ASR-2:r1:self_repair:bandlimit,first_round,id20,ASR-2,1,self_repair,bandlimit,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-2_self_repair_bandlimit.pptx,asr2_r1_id20.txt
first_round:id20:ASR-6:r1:clean:none,first_round,id20,ASR-6,1,clean,none,true,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-6_clean.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:clean:noise,first_round,id20,ASR-6,1,clean,noise,true,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_clean_noise.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:clean:reverb,first_round,id20,ASR-6,1,clean,reverb,false,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-6_clean_reverb.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:clean:bandlimit,first_round,id20,ASR-6,1,clean,bandlimit,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_clean_bandlimit.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:spoken:none,first_round,id20,ASR-6,1,spoken,none,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_spoken.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:spoken:noise,first_round,id20,ASR-6,1,spoken,noise,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_spoken_noise.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:spoken:reverb,first_round,id20,ASR-6,1,spoken,reverb,false,XML,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_spoken_reverb.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:spoken:bandlimit,first_round,id20,ASR-6,1,spoken,bandlimit,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_spoken_bandlimit.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:connected:none,first_round,id20,ASR-6,1,connected,none,true,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-6_connected.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:connected:noise,first_round,id20,ASR-6,1,connected,noise,true,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-6_connected_noise.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:connected:reverb,first_round,id20,ASR-6,1,connected,reverb,true,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-6_connected_reverb.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:connected:bandlimit,first_round,id20,ASR-6,1,connected,bandlimit,true,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-6_connected_bandlimit.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:self_repair:none,first_round,id20,ASR-6,1,self_repair,none,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_self_repair.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:self_repair:noise,first_round,id20,ASR-6,1,self_repair,noise,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_self_repair_noise.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:self_repair:reverb,first_round,id20,ASR-6,1,self_repair,reverb,true,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_20_r1_ASR-6_self_repair_reverb.pptx,asr6_r1_id20.txt
first_round:id20:ASR-6:r1:self_repair:bandlimit,first_round,id20,ASR-6,1,self_repair,bandlimit,false,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_20_r1_ASR-6_self_repair_bandlimit.pptx,asr6_r1_id20.txt
first_round:id31:ASR-2:r1:clean:none,first_round,id31,ASR-2,1,clean,none,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_clean.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:clean:noise,first_round,id31,ASR-2,1,clean,noise,,PYTHON-PPTX,false,0,false,0,true,true,,pass,3,0.0000,0.0019,0.0019,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_clean_noise.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:clean:reverb,first_round,id31,ASR-2,1,clean,reverb,,XML,false,0,false,0,false,false,,missing_output,0,,,,No final PPTX was produced.,slide_31_r1_ASR-2_clean_reverb.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:clean:bandlimit,first_round,id31,ASR-2,1,clean,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,,fail_overlap,3,0.9922,0.2940,0.2903,"All 3 images remain embedded, but 2 are almost completely overlapping, so only 2 are visible.",slide_31_r1_ASR-2_clean_bandlimit.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:spoken:none,first_round,id31,ASR-2,1,spoken,none,,PYTHON-PPTX,true,1,true,1,true,true,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_spoken.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:spoken:noise,first_round,id31,ASR-2,1,spoken,noise,,XML,false,0,false,0,false,false,,missing_output,0,,,,No final PPTX was produced.,slide_31_r1_ASR-2_spoken_noise.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:spoken:reverb,first_round,id31,ASR-2,1,spoken,reverb,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_spoken_reverb.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:spoken:bandlimit,first_round,id31,ASR-2,1,spoken,bandlimit,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_spoken_bandlimit.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:connected:none,first_round,id31,ASR-2,1,connected,none,,PYTHON-PPTX,false,0,false,0,true,true,,fail_overlap,3,0.9921,0.2940,0.2903,"All 3 images remain embedded, but 2 are almost completely overlapping, so only 2 are visible.",slide_31_r1_ASR-2_connected.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:connected:noise,first_round,id31,ASR-2,1,connected,noise,,PYTHON-PPTX,false,0,false,0,true,true,,fail_overlap,3,0.9922,0.2940,0.2903,"All 3 images remain embedded, but 2 are almost completely overlapping, so only 2 are visible.",slide_31_r1_ASR-2_connected_noise.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:connected:reverb,first_round,id31,ASR-2,1,connected,reverb,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_connected_reverb.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:connected:bandlimit,first_round,id31,ASR-2,1,connected,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_connected_bandlimit.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:self_repair:none,first_round,id31,ASR-2,1,self_repair,none,,XML,false,0,false,0,true,true,,fail_alignment,3,0.0000,0.0900,0.0000,"All 3 images remain, but horizontal placement is asymmetric or an image is outside the slide.",slide_31_r1_ASR-2_self_repair.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:self_repair:noise,first_round,id31,ASR-2,1,self_repair,noise,,XML,false,0,false,0,true,true,,pass,3,0.0000,0.0000,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_self_repair_noise.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:self_repair:reverb,first_round,id31,ASR-2,1,self_repair,reverb,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_self_repair_reverb.pptx,asr2_r1_id31.txt
first_round:id31:ASR-2:r1:self_repair:bandlimit,first_round,id31,ASR-2,1,self_repair,bandlimit,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-2_self_repair_bandlimit.pptx,asr2_r1_id31.txt
first_round:id31:ASR-6:r1:clean:none,first_round,id31,ASR-6,1,clean,none,,XML,false,0,false,0,true,true,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_clean.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:clean:noise,first_round,id31,ASR-6,1,clean,noise,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_clean_noise.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:clean:reverb,first_round,id31,ASR-6,1,clean,reverb,,PYTHON-PPTX,false,0,false,0,true,true,,fail_overlap,3,0.9922,0.2940,0.2903,"All 3 images remain embedded, but 2 are almost completely overlapping, so only 2 are visible.",slide_31_r1_ASR-6_clean_reverb.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:clean:bandlimit,first_round,id31,ASR-6,1,clean,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,,pass,3,0.0000,0.0019,0.0019,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_clean_bandlimit.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:spoken:none,first_round,id31,ASR-6,1,spoken,none,,PYTHON-PPTX,false,0,false,0,true,true,,pass,3,0.0000,0.0019,0.0019,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_spoken.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:spoken:noise,first_round,id31,ASR-6,1,spoken,noise,,PYTHON-PPTX,false,0,false,0,true,true,,pass,3,0.0000,0.0019,0.0019,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_spoken_noise.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:spoken:reverb,first_round,id31,ASR-6,1,spoken,reverb,,PYTHON-PPTX,false,0,false,0,true,true,,fail_overlap,3,0.9922,0.2940,0.2903,"All 3 images remain embedded, but 2 are almost completely overlapping, so only 2 are visible.",slide_31_r1_ASR-6_spoken_reverb.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:spoken:bandlimit,first_round,id31,ASR-6,1,spoken,bandlimit,,XML,false,0,false,0,true,true,,pass,3,0.0000,0.0000,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_spoken_bandlimit.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:connected:none,first_round,id31,ASR-6,1,connected,none,,PYTHON-PPTX,false,0,false,0,true,true,,fail_alignment,3,0.0000,0.0862,0.0900,"All 3 images remain, but horizontal placement is asymmetric or an image is outside the slide.",slide_31_r1_ASR-6_connected.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:connected:noise,first_round,id31,ASR-6,1,connected,noise,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_connected_noise.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:connected:reverb,first_round,id31,ASR-6,1,connected,reverb,,PYTHON-PPTX,true,1,true,1,true,true,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_connected_reverb.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:connected:bandlimit,first_round,id31,ASR-6,1,connected,bandlimit,,XML,false,0,false,0,false,false,,missing_output,0,,,,No final PPTX was produced.,slide_31_r1_ASR-6_connected_bandlimit.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:self_repair:none,first_round,id31,ASR-6,1,self_repair,none,,XML,false,0,false,0,true,true,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_self_repair.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:self_repair:noise,first_round,id31,ASR-6,1,self_repair,noise,,XML,false,0,false,0,true,true,,fail_overlap,3,1.0000,0.0000,0.0000,"All 3 images remain embedded but are stacked at the slide center, so only 1 is visible.",slide_31_r1_ASR-6_self_repair_noise.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:self_repair:reverb,first_round,id31,ASR-6,1,self_repair,reverb,,PYTHON-PPTX,false,0,false,0,true,true,,fail_alignment,3,0.0000,5.9664,5.3784,"All 3 images remain, but horizontal placement is asymmetric or an image is outside the slide.",slide_31_r1_ASR-6_self_repair_reverb.pptx,asr6_r1_id31.txt
first_round:id31:ASR-6:r1:self_repair:bandlimit,first_round,id31,ASR-6,1,self_repair,bandlimit,,PYTHON-PPTX,false,0,false,0,true,false,,pass,3,0.0000,0.0038,0.0000,"The original 3 images are preserved, non-overlapping, and horizontally symmetric.",slide_31_r1_ASR-6_self_repair_bandlimit.pptx,asr6_r1_id31.txt
first_round:id47:ASR-2:r1:clean:none,first_round,id47,ASR-2,1,clean,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_clean.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:clean:noise,first_round,id47,ASR-2,1,clean,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_clean_noise.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:clean:reverb,first_round,id47,ASR-2,1,clean,reverb,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_clean_reverb.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:clean:bandlimit,first_round,id47,ASR-2,1,clean,bandlimit,,PYTHON-PPTX,true,1,true,2,false,false,false,,,,,,,slide_47_r1_ASR-2_clean_bandlimit.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:spoken:none,first_round,id47,ASR-2,1,spoken,none,,PYTHON-PPTX,false,0,false,0,true,true,false,,,,,,,slide_47_r1_ASR-2_spoken.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:spoken:noise,first_round,id47,ASR-2,1,spoken,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_spoken_noise.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:spoken:reverb,first_round,id47,ASR-2,1,spoken,reverb,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_spoken_reverb.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:spoken:bandlimit,first_round,id47,ASR-2,1,spoken,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_spoken_bandlimit.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:connected:none,first_round,id47,ASR-2,1,connected,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_connected.pptx,asr2_r1_id47.txt
first_round:id47:ASR-2:r1:connected:noise,first_round,id47,ASR-2,1,connected,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_47_r1_ASR-2_connected_noise.pptx,asr2_r1_id47.txt
